id_recurso,nombre,tipo,estado,descripcion_breve,enlace,seccion,visible_en_home,visible_en_seccion,detalle,estandares,enlace_label,preview_tipo,preview_url,preview_titulo,notas
ontologia-ccd,Ontología CCD,Recurso conceptual y técnico,En desarrollo / piloto,Modelo semántico del proyecto para estructurar entidades relaciones y vocabularios con estándares interoperables,https://comisioncorograficadigital.github.io/ccd-ontology/,infraestructura,si,si,"Implementada con RDF/OWL, SKOS, PROV-O, DCTERMS e IIIF. Permite representar documentos, agentes, lugares, eventos y sus relaciones de manera enlazada, facilitando consultas cruzadas y la integración con otras infraestructuras de datos de la región y el mundo.","RDF/OWL|SKOS|PROV-O|DCTERMS|IIIF",Acceder a la ontología,iframe,https://comisioncorograficadigital.github.io/ccd-ontology/,Vista previa de la ontología CCD,
repositorio-piloto-omeka,Repositorio piloto Omeka S,Recurso digital,Piloto,Entorno de consulta y prueba donde se implementa la ontología CCD y se ensaya la organización y visualización de los materiales del proyecto,https://www.corograficadigital.org/,infraestructura,si,si,"Construido sobre Omeka S, plataforma de código abierto especializada en colecciones culturales y patrimoniales. El piloto permite explorar las capacidades de descripción enlazada, visualización de mapas IIIF y navegación por conjuntos documentales heterogéneos.","Omeka S|IIIF|JSON-LD",Acceder al repositorio piloto,iframe,https://p1-hd.tail991e65.ts.net/s/ccd-piloto/page/mapas,Vista previa del repositorio piloto Omeka S,
